               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10653,            0.095527,            0.024953,             0.65195,            0.012959,            0.073222,           0.0067517,           0.0012281,             0.09604,            0.063751,            0.025203,             0.45851,              0.0009,              0.0009,              0.0919
                   1,            0.093685,            0.083218,            0.020451,             0.29944,            0.028582,             0.27286,            0.019841,           0.0040079,             0.11196,            0.045962,            0.024725,             0.20935,             0.00181,             0.00181,             0.08371
                   2,             0.10604,            0.064513,            0.020365,             0.20625,            0.017253,             0.29474,            0.012673,           0.0023783,             0.11263,            0.039556,            0.022851,             0.19304,           0.0027198,           0.0027198,             0.07552
                   3,             0.11674,            0.053376,            0.019318,             0.19734,            0.055728,             0.16495,            0.029052,           0.0062249,             0.11927,            0.031949,            0.022054,              0.1841,           0.0036293,           0.0036293,            0.067329
                   4,             0.12004,            0.048029,            0.016507,             0.19286,            0.090229,             0.14899,            0.050355,            0.011018,             0.12588,            0.023791,            0.016578,             0.17723,           0.0045384,           0.0045384,            0.059138
                   5,              0.1251,            0.044634,            0.013178,             0.18199,            0.062423,             0.24347,            0.039346,           0.0072402,             0.12614,            0.023381,            0.016031,             0.16614,            0.005447,            0.005447,            0.050947
                   6,             0.12972,            0.031174,            0.011905,             0.17168,            0.085577,              0.1737,            0.050185,             0.01265,             0.12996,            0.018431,            0.016821,             0.14861,            0.006355,            0.006355,            0.042755
                   7,             0.13057,            0.028998,            0.010303,             0.16179,             0.11989,             0.18031,            0.078915,            0.020229,             0.13221,            0.018264,            0.014657,             0.13665,           0.0072622,           0.0072622,            0.034562
                   8,             0.12877,            0.032259,           0.0098707,             0.15249,             0.16413,             0.27468,             0.09935,            0.021975,             0.12945,            0.019181,              0.0136,             0.12453,           0.0081685,           0.0081685,            0.026369
                   9,             0.12927,            0.034273,           0.0090421,             0.14603,             0.10182,             0.17469,            0.053236,             0.01334,             0.13186,            0.020321,            0.027479,             0.12068,           0.0090739,           0.0090739,            0.018174
                  10,             0.12934,             0.03312,           0.0089458,                0.14,            0.096251,             0.11761,             0.02982,           0.0067202,             0.12496,            0.025896,            0.025335,             0.11731,           0.0099781,           0.0099781,           0.0099781
                  11,             0.12552,             0.03948,            0.008741,             0.13664,            0.067467,             0.20904,            0.033837,           0.0079487,             0.12693,             0.03151,            0.032003,             0.10796,           0.0099781,           0.0099781,           0.0099781
                  12,              0.1253,            0.039414,           0.0087401,             0.13361,             0.19279,             0.18485,            0.080135,            0.019743,             0.12444,            0.026334,            0.021594,             0.11706,           0.0099735,           0.0099735,           0.0099735
                  13,             0.12358,            0.037859,           0.0081129,             0.13131,             0.12413,             0.16727,            0.068013,            0.012674,             0.12273,            0.025442,            0.025747,             0.11145,           0.0099685,           0.0099685,           0.0099685
                  14,             0.11924,            0.043029,           0.0078199,             0.13045,             0.24998,             0.23811,             0.14203,            0.030902,              0.1139,             0.02991,            0.020605,             0.10898,            0.009963,            0.009963,            0.009963
                  15,             0.11974,            0.042278,           0.0069104,             0.12812,             0.25383,             0.21767,              0.1433,            0.034109,             0.12161,             0.02499,              0.0207,             0.10638,           0.0099571,           0.0099571,           0.0099571
                  16,             0.11776,            0.043649,           0.0074916,             0.12683,             0.25988,              0.2383,              0.1699,            0.041151,             0.11526,            0.027972,            0.024957,             0.10386,           0.0099508,           0.0099508,           0.0099508
                  17,              0.1184,            0.040894,           0.0067301,             0.12539,             0.17843,             0.23566,              0.1095,            0.027021,             0.12257,            0.023615,            0.022983,             0.10466,            0.009944,            0.009944,            0.009944
                  18,              0.1202,            0.038449,           0.0069444,             0.12321,             0.27498,             0.25098,             0.16343,            0.040775,             0.12305,            0.024281,            0.014166,            0.098223,           0.0099368,           0.0099368,           0.0099368
                  19,             0.11983,             0.03829,           0.0063095,              0.1241,              0.2643,             0.39034,             0.17758,            0.041522,             0.10889,            0.031485,            0.018344,             0.10527,           0.0099291,           0.0099291,           0.0099291
                  20,             0.11339,            0.044986,           0.0064097,             0.12553,             0.29049,             0.29824,             0.19051,             0.05384,             0.11599,            0.029114,            0.018379,             0.10664,           0.0099211,           0.0099211,           0.0099211
